experiance,salary,hiredate,certification,specialization,personid
1,7969,2025-03-17,Programmer I,Product Management,1
2,4943,2025-03-16,Analyst Programmer,Engineering,2
3,5423,2024-09-08,Payment Adjustment Coordinator,Legal,3
4,5623,2024-11-08,Database Administrator I,Sales,4
5,5941,2024-11-18,Sales Representative,Services,5
6,8472,2024-07-13,Librarian,Business Development,6
7,4249,2024-05-17,Technical Writer,Legal,7
8,7998,2024-08-21,Senior Cost Accountant,Marketing,8
9,4638,2024-04-24,Compensation Analyst,Research and Development,9
10,6181,2024-12-03,Account Representative II,Legal,10
11,8514,2025-01-24,Food Chemist,Product Management,11
12,4081,2024-08-13,Safety Technician II,Services,12
13,7787,2024-07-19,General Manager,Legal,13
14,7998,2024-05-05,Professor,Engineering,14
15,7757,2024-11-19,Desktop Support Technician,Engineering,15
16,7348,2024-07-28,Accountant IV,Business Development,16
17,6047,2024-04-21,Computer Systems Analyst I,Marketing,17
18,8066,2024-05-23,Environmental Specialist,Training,18
19,7295,2024-04-03,Analyst Programmer,Business Development,19
20,7110,2024-08-08,VP Product Management,Sales,20
21,5972,2025-01-16,Quality Engineer,Human Resources,21
22,7852,2025-01-02,Environmental Tech,Marketing,22
23,4802,2024-09-30,Information Systems Manager,Sales,23
24,4013,2024-06-30,Executive Secretary,Services,24
25,5720,2024-07-23,Geologist IV,Sales,25
26,5056,2024-06-11,Recruiter,Product Management,26
27,5749,2024-10-24,Engineer I,Human Resources,27
28,5790,2024-06-01,Chief Design Engineer,Business Development,28
29,7001,2024-12-06,Account Representative II,Support,29
30,6822,2025-02-01,Media Manager IV,Product Management,30
31,5169,2024-04-30,VP Product Management,Human Resources,31
32,4062,2025-01-04,Senior Developer,Sales,32
33,7110,2024-05-28,Computer Systems Analyst III,Legal,33
34,5658,2024-05-31,General Manager,Research and Development,34
35,5684,2024-11-19,Help Desk Operator,Sales,35
36,4648,2024-08-07,Community Outreach Specialist,Engineering,36
37,5036,2024-08-10,Financial Advisor,Services,37
38,6964,2024-05-25,Computer Systems Analyst I,Support,38
39,4328,2024-10-12,Actuary,Legal,39
40,5883,2024-04-09,Administrative Assistant IV,Training,40
41,7553,2024-07-16,Teacher,Support,41
42,4735,2024-12-22,Quality Control Specialist,Product Management,42
43,6982,2025-02-06,Librarian,Marketing,43
44,8746,2024-04-13,Structural Analysis Engineer,Engineering,44
45,5978,2024-08-23,Assistant Manager,Legal,45
46,8862,2025-01-08,Senior Sales Associate,Services,46
47,6564,2025-02-05,Developer II,Engineering,47
48,7827,2025-03-07,Engineer II,Sales,48
49,5993,2025-01-24,Software Engineer I,Business Development,49
50,6564,2024-05-14,Senior Sales Associate,Human Resources,50
51,5591,2024-06-11,VP Quality Control,Research and Development,51
52,4676,2024-08-12,Electrical Engineer,Training,52
53,4610,2024-09-23,Help Desk Technician,Engineering,53
54,7795,2024-10-05,Project Manager,Services,54
55,7323,2024-10-21,Software Test Engineer I,Sales,55
56,7615,2025-02-15,Graphic Designer,Support,56
57,6091,2024-10-22,Electrical Engineer,Legal,57
58,4216,2025-01-30,Engineer II,Product Management,58
59,5381,2024-12-28,Senior Sales Associate,Engineering,59
60,5916,2024-09-01,Speech Pathologist,Services,60
61,7036,2025-01-09,Dental Hygienist,Product Management,61
62,4741,2024-08-08,Research Nurse,Research and Development,62
63,6975,2024-12-05,Administrative Assistant IV,Legal,63
64,8904,2025-01-20,Staff Scientist,Training,64
65,6717,2024-10-24,VP Product Management,Product Management,65
66,6218,2025-02-05,Assistant Manager,Product Management,66
67,5747,2025-03-16,Accountant II,Sales,67
68,5118,2024-05-16,Civil Engineer,Services,68
69,7542,2024-12-10,Registered Nurse,Research and Development,69
70,5438,2024-10-23,Compensation Analyst,Engineering,70
71,7195,2024-12-02,Programmer Analyst IV,Marketing,71
72,7636,2025-01-06,Nuclear Power Engineer,Services,72
73,7071,2024-10-12,Budget/Accounting Analyst II,Training,73
74,5293,2024-08-20,Quality Control Specialist,Human Resources,74
75,6948,2024-04-14,Sales Associate,Training,75
76,5119,2024-08-26,Staff Accountant II,Training,76
77,5647,2024-06-07,Actuary,Accounting,77
78,7959,2024-10-21,Senior Cost Accountant,Support,78
79,5357,2024-05-23,Administrative Officer,Support,79
80,5668,2024-11-28,Actuary,Product Management,80
81,5138,2024-06-30,Web Developer II,Sales,81
82,4218,2024-08-11,Senior Quality Engineer,Business Development,82
83,4875,2025-01-11,Systems Administrator III,Sales,83
84,4108,2024-04-04,Food Chemist,Human Resources,84
85,5207,2024-06-21,Desktop Support Technician,Research and Development,85
86,7063,2024-05-08,Internal Auditor,Services,86
87,4167,2025-02-06,Mechanical Systems Engineer,Engineering,87
88,5637,2024-06-24,Structural Analysis Engineer,Business Development,88
89,6765,2024-07-29,Account Coordinator,Research and Development,89
90,6844,2025-02-19,Software Consultant,Human Resources,90
91,7906,2024-10-11,Account Executive,Support,91
92,8204,2024-07-26,Marketing Manager,Legal,92
93,7632,2024-04-23,Graphic Designer,Support,93
94,6782,2024-05-14,Payment Adjustment Coordinator,Sales,94
95,6729,2024-08-12,Analyst Programmer,Services,95
96,4274,2024-09-15,Senior Sales Associate,Research and Development,96
97,5511,2024-11-25,Media Manager I,Research and Development,97
98,6569,2024-06-08,Tax Accountant,Business Development,98
99,6950,2024-11-12,Staff Scientist,Human Resources,99
100,5043,2024-07-06,Human Resources Assistant I,Engineering,100
101,8236,2024-04-18,Web Designer IV,Accounting,101
102,6180,2024-07-27,Graphic Designer,Product Management,102
103,4074,2024-05-06,Assistant Manager,Sales,103
104,6299,2024-04-24,Librarian,Product Management,104
105,8129,2024-08-02,General Manager,Business Development,105
106,5045,2024-08-26,Paralegal,Product Management,106
107,7990,2024-12-22,Human Resources Assistant I,Support,107
108,5649,2024-05-23,Data Coordinator,Training,108
109,7534,2024-09-12,Design Engineer,Support,109
110,5352,2024-07-09,Account Coordinator,Business Development,110
111,4769,2024-08-19,Research Assistant IV,Engineering,111
112,5170,2024-07-19,Chief Design Engineer,Sales,112
113,5284,2024-06-29,Programmer Analyst III,Training,113
114,4857,2024-05-26,Product Engineer,Research and Development,114
115,8152,2024-07-11,Occupational Therapist,Legal,115
116,6622,2024-05-15,Help Desk Operator,Training,116
117,4559,2024-09-27,Computer Systems Analyst I,Engineering,117
118,4247,2024-08-19,Senior Editor,Product Management,118
119,7487,2024-10-16,Account Executive,Business Development,119
120,8466,2024-12-31,Accounting Assistant I,Sales,120
121,4710,2024-06-26,GIS Technical Architect,Marketing,121
122,8355,2024-08-25,Geologist II,Sales,122
123,6929,2025-01-07,Compensation Analyst,Support,123
124,4803,2024-07-11,Tax Accountant,Business Development,124
125,5588,2024-06-11,Recruiting Manager,Marketing,125
126,6375,2025-01-17,Help Desk Technician,Engineering,126
127,5387,2024-10-29,Accounting Assistant III,Sales,127
128,8437,2024-03-29,Developer III,Services,128
